Parent Produk,Tipe,Nama Produk,SKU,Satuan
Rafia,FINISHED_GOOD,Rafia Hitam KW 0,7 (10),RHK0710,BAL
Rafia,FINISHED_GOOD,Rafia Hitam KW 0,7 (6),RHK0760,BAL
Rafia,FINISHED_GOOD,Rafia Hitam KW 0,8 (10),RHK0810,BAL
Rafia,FINISHED_GOOD,Rafia Hitam KW 0,85 (10),RHK8510,BAL
Rafia,FINISHED_GOOD,Rafia Hitam KW 0,9 (10),RHK0910,BAL
Rafia,FINISHED_GOOD,Rafia Hitam KW 0,95 (10),RHK9510,BAL
Rafia,FINISHED_GOOD,Rafia Hitam KW 1 (10),RHK1010,BAL
Rafia,FINISHED_GOOD,Rafia Hitam KW 1,5 (10),RHK1510,BAL
Rafia,FINISHED_GOOD,Rafia Hitam Kw 0,2 (10),RHK0210,BAL
Rafia,FINISHED_GOOD,Rafia Hitam Super,RHS0000,KG
Rafia,FINISHED_GOOD,Rafia Hitam Super 0,5 (10),RHS0510,BAL
Rafia,FINISHED_GOOD,Rafia Hitam Super 0,85 (10),RHS8510,BAL
Rafia,FINISHED_GOOD,Rafia Hitam Super 0,9 (10),RHS0910,BAL
Rafia,FINISHED_GOOD,Rafia Hitam Super 1 (10),RHS1010,BAL
Rafia,FINISHED_GOOD,Rafia Hitam Super Jasa,RHJ0000,KG
Rafia,FINISHED_GOOD,Rafia Kuning KW,RKK0000,KG
Rafia,FINISHED_GOOD,Rafia Kuning KW 1 (10),RKK1010,BAL
Rafia,FINISHED_GOOD,Rafia Kuning KW Super,RKW0000,KG
Rafia,FINISHED_GOOD,Rafia Kuning Super,RKS0000,KG
Rafia,FINISHED_GOOD,Rafia Kuning Super 0,4 (10),RKS0410,BAL
Rafia,FINISHED_GOOD,Rafia Kuning Super 0,75 (6),RKS7560,BAL
Rafia,FINISHED_GOOD,Rafia Kuning Super 0,8 (10),RKS0810,BAL
Rafia,FINISHED_GOOD,Rafia Kuning Super 1 (10),RKS1010,BAL
Rafia,FINISHED_GOOD,Rafia Merah KW,RMK0000,KG
Rafia,FINISHED_GOOD,Rafia Merah KW 1 (10),RMK1010,BAL
Rafia,FINISHED_GOOD,Rafia Merah KW Super,RMW0000,KG
Rafia,FINISHED_GOOD,Rafia Merah Kw 0,5 (10),RMK0510,BAL
Rafia,FINISHED_GOOD,Rafia Merah Super,RMS0000,KG
Rafia,FINISHED_GOOD,Rafia Merah Super 0,7 (6),RMS0760,BAL
Rafia,FINISHED_GOOD,Rafia Merah Super 0,75 (6),RMS7560,BAL
Rafia,FINISHED_GOOD,Rafia Merah Super 0,8 (10),RMS0810,BAL
Rafia,FINISHED_GOOD,Rafia Merah Super 0,95 (10),RMS9510,BAL
Rafia,FINISHED_GOOD,Rafia Merah Super 1 (10),RMS1010,BAL
Rafia,FINISHED_GOOD,Rafia Merah Super 1 (6),MLD-BJ-001,BAL
Rafia,FINISHED_GOOD,Rafia Merah Super Jasa,RMJ0000,KG
Rafia,FINISHED_GOOD,Rafia Netral,MLD-BJ-002,KG
Rafia,FINISHED_GOOD,Rafia Orange Super,ROS0000,KG
Rafia,FINISHED_GOOD,Rafia Ungu KW,RUK0000,KG
Rafia,FINISHED_GOOD,Rafia Ungu KW Super,RUW0000,KG
Rafia,FINISHED_GOOD,Rafia Ungu Super,RUS0000,KG
Rafia,FINISHED_GOOD,Rafia Ungu Super 1 (10),RUS0110,BAL
Rafia,FINISHED_GOOD,Rafia Warna KW 0,15,RWK1500,BAL
Rafia,FINISHED_GOOD,Rafia Warna KW 0,2 (10),MLD-BJ-003,BAL
Rafia,FINISHED_GOOD,Rafia Warna KW 0,4 (10),RWK0410,BAL
Rafia,FINISHED_GOOD,Rafia Warna KW 0,5 (10),RWK0510,BAL
Rafia,FINISHED_GOOD,Rafia Warna KW 0,7 (10),RWK0710,BAL
Rafia,FINISHED_GOOD,Rafia Warna KW 0,8 (10),RWK0810,BAL
Rafia,FINISHED_GOOD,Rafia Warna KW 0,9 (10),RWK0910,BAL
Rafia,FINISHED_GOOD,Rafia Warna KW 0,95 (10),RWK9510,BAL
Rafia,FINISHED_GOOD,Rafia Warna KW 1 (10),RWK1010,BAL
Rafia,FINISHED_GOOD,Rafia Warna KW Super 0,95 (10),RWW9510,BAL
Rafia,FINISHED_GOOD,Rafia Warna Kw 0,5 (20),RWK0520,BAL
Rafia,FINISHED_GOOD,Rafia Warna Super Mix 0,1 (10),RWM0110,BAL
Rafia,FINISHED_GOOD,Rafia Warna Super Mix 0,15 (10),RWM1510,BAL
Rafia,FINISHED_GOOD,Rafia Warna Super Mix 0,4 (10),RWM0410,BAL
Rafia,FINISHED_GOOD,Rafia Warna Super Mix 0,7 (6),RWM0760,BAL
Rafia,FINISHED_GOOD,Rafia Warna Super Mix 0,75 (6),RWM756,BAL
Rafia,FINISHED_GOOD,Rafia Warna Super Mix 0,8 (10),RWM0810,BAL
Rafia,FINISHED_GOOD,Rafia Warna Super Mix 0,9 (10),RWM0910,BAL
Rafia,FINISHED_GOOD,Rafia Warna Super Mix 0,95 (10),RWM9510,BAL
Rafia,FINISHED_GOOD,Rafia Warna Super Mix 1 (10),RWM1010,BAL
Sedotan,FINISHED_GOOD,Sedotan BS,S000000,KG
Sedotan,FINISHED_GOOD,Sedotan Bening Lancip Lubang 5.5,SBP00WL,KG
Sedotan,FINISHED_GOOD,Sedotan Bening Lurik Biru Lancip Lubang 6,SBLR0SL6,KG
Sedotan,FINISHED_GOOD,Sedotan Bening Lurik Biru Lancip Lubang 8.5,SBLR0SL8,KG
Sedotan,FINISHED_GOOD,Sedotan Bening Lurik Biru Putih Lancip Lubang 10,SBLRDSL10,KG
Sedotan,FINISHED_GOOD,Sedotan Bening Lurik Biru Putih Lancip Lubang 12,SBLRDSL12,KG
Sedotan,FINISHED_GOOD,Sedotan Bening Lurik Biru Putih Lancip Lubang 6,SBLRPSL6,KG
Sedotan,FINISHED_GOOD,Sedotan Bening Lurik Biru Putih Lancip Lubang 8,SBLRDSL8,KG
Sedotan,FINISHED_GOOD,Sedotan Bening Lurik Biru Putih Tumpul Lubang 6,SBLBDST6,KG
Sedotan,FINISHED_GOOD,Sedotan Bening Lurik Biru Tumpul Lubang 6,SBLR0ST6,KG
Sedotan,FINISHED_GOOD,Sedotan Bening Lurik Biru Tumpul Lubang 8.5,SBLR0ST8,KG
Sedotan,FINISHED_GOOD,Sedotan Bening Lurik Dop,SBLD0ST6,KG
Sedotan,FINISHED_GOOD,Sedotan Bening Lurik Double Lancip,SBLD0ST6-02,PCS
Sedotan,FINISHED_GOOD,Sedotan Bening Lurik Hijau Jasa,BJ000018,KG
Sedotan,FINISHED_GOOD,Sedotan Bening Lurik Hijau Lancip Lubang 6,SBLH0SL6,KG
Sedotan,FINISHED_GOOD,Sedotan Bening Lurik Hijau Lancip Lubang 8.5,SBLH0ST8,KG
Sedotan,FINISHED_GOOD,Sedotan Bening Lurik Hijau Putih Lancip Lubang 10,SBLJDSL10,KG
Sedotan,FINISHED_GOOD,Sedotan Bening Lurik Hijau Putih Lancip Lubang 12,SBLJDSL12,KG
Sedotan,FINISHED_GOOD,Sedotan Bening Lurik Hijau Putih Lancip Lubang 6,SBLJDSL6,KG
Sedotan,FINISHED_GOOD,Sedotan Bening Lurik Hijau Putih Tumpul Lubang 6,SBLHDST6,KG
Sedotan,FINISHED_GOOD,Sedotan Bening Lurik Hijau Tumpul Lubang 6,SBLH0ST6,KG
Sedotan,FINISHED_GOOD,Sedotan Bening Lurik Kuning Jasa,BJ000017,KG
Sedotan,FINISHED_GOOD,Sedotan Bening Lurik Kuning Lancip Lubang 6,SBLK0SL6,KG
Sedotan,FINISHED_GOOD,Sedotan Bening Lurik Kuning Putih Lancip Lubang 10,SBLKDSL10,KG
Sedotan,FINISHED_GOOD,Sedotan Bening Lurik Kuning Putih Lancip Lubang 12,SBLKDSL12,KG
