sourceRow,name,productCode,sheetUnit,dibeli,dijual,category,suggestedPrimaryUnit,existingNameMatch,existingSkuForName,existingUnitForName,existingParentForName,existingNamesUsingSameSku,issueTypes,suggestedAction
193,"Sedotan Hijau Lurik Dop Lubang 6,2",SJLD0ST2,Kg,,4-105 Penjualan Sedotan Los,BARANG JADI,KG,"Sedotan Hijau Lurik Dop Lubang 6,2",SJLD0ST2,KG,Produk FINISHED GOOD Rafia,"Sedotan Hijau Lurik Dop Lubang 6,2",,EXISTS_BY_NAME;READY_AFTER_BASIC_REVIEW
194,"Sedotan Hijau Lurik Dop Lubang 6,5",,Kg,,4-105 Penjualan Sedotan Los,BARANG JADI,KG,,,,,,MISSING_PRODUCT_CODE,NEW_BY_NAME
195,"Sedotan Hijau Lurik Dop Lubang 8,5",SJLD0ST8,Kg,,4-105 Penjualan Sedotan Los,BARANG JADI,KG,,,,,Sedotan Hijau Lurik Dop Lubang 8.5,SKU_ALREADY_USED_BY_OTHER_EXISTING_VARIANT,NEW_BY_NAME
196,Sedotan Hijau Steril Full Printing,SJS00WL-11,Karton,,4-114 Penjualan Sedotan Steril,BARANG JADI,PCS,Sedotan Hijau Steril Full Printing,SJS00WL-11,PCS,Produk FINISHED GOOD Rafia,Sedotan Hijau Steril Full Printing,UNIT_NEEDS_NORMALIZATION,EXISTS_BY_NAME
197,Sedotan Hijau Super,SJP00ST6,Kg,,4-105 Penjualan Sedotan Los,BARANG JADI,KG,Sedotan Hijau Super,SJP00ST6,KG,Produk FINISHED GOOD Rafia,Sedotan Hijau Super,,EXISTS_BY_NAME;READY_AFTER_BASIC_REVIEW
198,Sedotan Hijau Super 3,SJP00WT6,Kg,,4-105 Penjualan Sedotan Los,BARANG JADI,KG,Sedotan Hijau Super 3,SJP00WT6,KG,Produk FINISHED GOOD Rafia,Sedotan Hijau Super 3,,EXISTS_BY_NAME;READY_AFTER_BASIC_REVIEW
199,Sedotan Hijau Super Jasa,SJP00JT6,Kg,,4-109 Penjualan Sedotan Maklon,BARANG JADI,KG,Sedotan Hijau Super Jasa,SJP00JT6,KG,Produk FINISHED GOOD Rafia,Sedotan Hijau Super Jasa,,EXISTS_BY_NAME;READY_AFTER_BASIC_REVIEW
200,"Sedotan Hijau Tumpul Lubang 8,5",SJP00ST8,Kg,,4-105 Penjualan Sedotan Los,BARANG JADI,KG,,,,,Sedotan Hijau Tumpul Lubang 8.5,SKU_ALREADY_USED_BY_OTHER_EXISTING_VARIANT,NEW_BY_NAME
201,"Sedotan Hijau Tumpul Lubang 8,5 Jasa",SJP00JT8,Kg,,4-109 Penjualan Sedotan Maklon,BARANG JADI,KG,,,,,Sedotan Hijau Tumpul Lubang 8.5 Jasa,SKU_ALREADY_USED_BY_OTHER_EXISTING_VARIANT,NEW_BY_NAME
202,Sedotan Hitam Lancip,,Kg,,4-105 Penjualan Sedotan Los,BARANG JADI,KG,,,,,,MISSING_PRODUCT_CODE,NEW_BY_NAME
203,Sedotan Hitam Lancip Lubang 12,BJ000015,Kg,,4-105 Penjualan Sedotan Los,BARANG JADI,KG,,,,,Sedotan Warna Lurik Double 70gr,DUPLICATE_PRODUCT_CODE_IN_SHEET;SKU_ALREADY_USED_BY_OTHER_EXISTING_VARIANT,NEW_BY_NAME
204,Sedotan Hitam Lancip Lubang 5,SHP00WL5,Kg,,4-105 Penjualan Sedotan Los,BARANG JADI,KG,Sedotan Hitam Lancip Lubang 5,SHP00WL5,KG,Produk FINISHED GOOD Rafia,Sedotan Hitam Lancip Lubang 5,,EXISTS_BY_NAME;READY_AFTER_BASIC_REVIEW
205,"Sedotan Hitam Lancip Lubang 5,5",SHP00WL,Kg,,4-105 Penjualan Sedotan Los,BARANG JADI,KG,,,,,Sedotan Hitam Lancip Lubang 5.5,SKU_ALREADY_USED_BY_OTHER_EXISTING_VARIANT,NEW_BY_NAME
206,Sedotan Hitam Lurik Dop Luban 6 Jasa,,Kg,,4-105 Penjualan Sedotan Los,BARANG JADI,KG,,,,,,MISSING_PRODUCT_CODE,NEW_BY_NAME
207,Sedotan Hitam Steril,SHS00WL-20,Pack,,4-114 Penjualan Sedotan Steril,BARANG JADI,PCS,Sedotan Hitam Steril,SHS00WL-20,PCS,Produk FINISHED GOOD Rafia,Sedotan Hitam Steril,DUPLICATE_PRODUCT_CODE_IN_SHEET;UNIT_NEEDS_NORMALIZATION,EXISTS_BY_NAME
208,Sedotan Hitam Steril Bal Dalam Printing Luar Polos,,Bal,,4-114 Penjualan Sedotan Steril,BARANG JADI,BAL,,,,,,MISSING_PRODUCT_CODE,NEW_BY_NAME
209,Sedotan Hitam Steril Bal Full Polos Isi 250,SHS00WL-00,Bal,,4-114 Penjualan Sedotan Steril,BARANG JADI,BAL,Sedotan Hitam Steril Bal Full Polos Isi 250,SHS00WL-00,BAL,Produk FINISHED GOOD Rafia,Sedotan Hitam Steril Bal Full Polos Isi 250,DUPLICATE_PRODUCT_CODE_IN_SHEET,EXISTS_BY_NAME
210,Sedotan Hitam Steril Bal Full Polos Isi 500,,Bal,,4-114 Penjualan Sedotan Steril,BARANG JADI,BAL,,,,,,MISSING_PRODUCT_CODE,NEW_BY_NAME
211,Sedotan Hitam Steril Dalam Polos Luar Printing,SHS00WL-01,Karton,,4-114 Penjualan Sedotan Steril,BARANG JADI,PCS,Sedotan Hitam Steril Dalam Polos Luar Printing,SHS00WL-01,PCS,Produk FINISHED GOOD Rafia,Sedotan Hitam Steril Dalam Polos Luar Printing,UNIT_NEEDS_NORMALIZATION,EXISTS_BY_NAME
212,Sedotan Hitam Steril Dalam Printing Luar Polos,SHS00WL-10,Karton,,4-114 Penjualan Sedotan Steril,BARANG JADI,PCS,Sedotan Hitam Steril Dalam Printing Luar Polos,SHS00WL-10,PCS,Produk FINISHED GOOD Rafia,Sedotan Hitam Steril Dalam Printing Luar Polos,UNIT_NEEDS_NORMALIZATION,EXISTS_BY_NAME
213,Sedotan Hitam Steril Full Polos,SHS00WL-00,Karton,,4-114 Penjualan Sedotan Steril,BARANG JADI,PCS,,,,,Sedotan Hitam Steril Bal Full Polos Isi 250,DUPLICATE_PRODUCT_CODE_IN_SHEET;UNIT_NEEDS_NORMALIZATION;SKU_ALREADY_USED_BY_OTHER_EXISTING_VARIANT,NEW_BY_NAME
